dataset_source,external_animal_id,breed,sex,age_months,body_length_cm,withers_height_cm,thoracic_depth_cm,rump_width_cm,chest_girth_cm,real_weight_kg,notes
CowDatabase3,53,Aberdeen Angus,female,,,129.0,,,221.0,653.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,54,Aberdeen Angus,female,,,129.0,,,226.0,626.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,55,Aberdeen Angus,female,,,129.0,,,226.0,662.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,56,Aberdeen Angus,female,,,128.0,,,217.0,630.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,57,Aberdeen Angus,female,,,128.0,,,215.0,629.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,58,Aberdeen Angus,female,,,120.0,,,208.0,560.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,59,Aberdeen Angus,female,,,127.0,,,224.0,631.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,60,Aberdeen Angus,female,,,132.0,,,226.0,631.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,61,Aberdeen Angus,female,,,126.0,,,220.0,618.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,62,Aberdeen Angus,female,,,129.0,,,228.0,626.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,63,Aberdeen Angus,female,,,126.0,,,220.0,661.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,64,Aberdeen Angus,female,,,134.0,,,225.0,640.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,65,Aberdeen Angus,female,,,126.0,,,228.0,652.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,66,Aberdeen Angus,female,,,129.0,,,227.0,632.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,67,Aberdeen Angus,female,,,129.0,,,232.0,633.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,68,Aberdeen Angus,female,,,131.0,,,224.0,621.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,69,Aberdeen Angus,female,,,132.0,,,223.0,626.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,70,Aberdeen Angus,female,,,126.0,,,223.0,623.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,71,Aberdeen Angus,female,,,128.0,,,224.0,642.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,72,Aberdeen Angus,female,,,130.0,,,222.0,644.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,73,Aberdeen Angus,female,,,132.0,,,219.0,656.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,74,Aberdeen Angus,female,,,130.0,,,224.0,632.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,75,Aberdeen Angus,female,,,137.0,,,230.0,641.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,76,Aberdeen Angus,female,,,127.0,,,225.0,615.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,77,Aberdeen Angus,female,,,127.0,,,229.0,642.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,78,Aberdeen Angus,female,,,127.0,,,220.0,601.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,79,Aberdeen Angus,female,,,128.0,,,220.0,631.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,80,Aberdeen Angus,female,,,130.0,,,223.0,638.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,81,Aberdeen Angus,female,,,133.0,,,221.0,637.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,82,Aberdeen Angus,female,,,130.0,,,219.0,654.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,83,Aberdeen Angus,female,,,130.0,,,219.0,626.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,84,Aberdeen Angus,female,,,122.0,,,220.0,609.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,85,Aberdeen Angus,female,,,127.0,,,227.0,624.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,86,Aberdeen Angus,female,,,133.0,,,225.0,630.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,87,Aberdeen Angus,female,,,138.0,,,227.0,629.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,88,Aberdeen Angus,female,,,128.0,,,222.0,635.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,89,Aberdeen Angus,female,,,132.0,,,228.0,670.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,90,Aberdeen Angus,female,,,129.0,,,223.0,633.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,91,Aberdeen Angus,female,,,128.0,,,224.0,633.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,92,Aberdeen Angus,female,,,125.0,,,229.0,665.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
CowDatabase3,93,Aberdeen Angus,female,,,132.0,,,221.0,636.0,"heifers, fattening; weight of 11/10/2022; NOT for training, weight CV 3.43%"
